,scoredFor,xGF_before,xGF_after,xGA_before,xGA_after,time_before,time_after,anyone_switch,forw_switch,def_switch,us,them,score_dif
4935,1,0.0,0.0,0.0,0.0,5.0,11.0,0,0,0,"(8475794.0, 8471228.0, 8478449.0, 8475906.0, 8480036.0)","(8471233.0, 8476399.0, 8477425.0, 8476923.0, 8475222.0)",
4936,0,0.0,0.00886318,0.0489155,0.0,9.0,31.0,0,0,1,"(8470794.0, 8466138.0, 8475834.0, 8475455.0, 8474578.0)","(8477492.0, 8474685.0, 8476442.0, 8477435.0, 8479398.0)",
4937,1,0.0489155,0.0,0.0,0.00886318,9.0,15.0,0,0,0,"(8477492.0, 8474685.0, 8476442.0, 8477435.0, 8479398.0)","(8470794.0, 8466138.0, 8475834.0, 8475455.0, 8474578.0)",
4938,1,0.0,0.0,0.0,0.0,0.0,23.0,0,0,1,"(8470794.0, 8466138.0, 8475169.0, 8471709.0, 8474027.0)","(8477021.0, 8471262.0, 8477456.0, 8475197.0, 8475747.0)",
4939,0,0.0,0.0,0.0,0.0,0.0,31.0,0,0,0,"(8477021.0, 8471262.0, 8477456.0, 8475197.0, 8475747.0)","(8470794.0, 8466138.0, 8475169.0, 8471709.0, 8474027.0)",
4940,1,0.0,0.0,0.0,0.0,0.0,25.0,0,0,1,"(8474053.0, 8475820.0, 8475169.0, 8471709.0, 8470613.0)","(8480326.0, 8481186.0, 8476455.0, 8473446.0, 8479398.0)",
4941,0,0.0,0.0,0.0,0.0,10.0,49.0,0,0,0,"(8480326.0, 8481186.0, 8476455.0, 8473446.0, 8479398.0)","(8474053.0, 8475820.0, 8475169.0, 8471709.0, 8470613.0)",
4942,1,0.0,0.0,0.0,0.0,2.0,41.0,0,0,0,"(8470794.0, 8474053.0, 8480780.0, 8471709.0, 8477046.0)","(8477492.0, 8478420.0, 8476455.0, 8475197.0, 8474013.0)",
4943,0,0.0,0.0,0.0,0.0,47.0,41.0,0,0,0,"(8477492.0, 8478420.0, 8476455.0, 8475197.0, 8474013.0)","(8470794.0, 8474053.0, 8480780.0, 8471709.0, 8477046.0)",
4944,0,0.0,0.0,0.0,0.0,16.0,25.0,1,1,1,"(8470794.0, 8466138.0, 8475834.0, 8477046.0, 8474578.0)","(8477021.0, 8479370.0, 8477456.0, 8475747.0, 8477435.0)",
4945,1,0.0,0.0,0.0,0.0,16.0,25.0,1,1,1,"(8477021.0, 8479370.0, 8477456.0, 8475747.0, 8477435.0)","(8470794.0, 8466138.0, 8475834.0, 8477046.0, 8474578.0)",
